Name,Stars,Forks,Months,TF_version,Torch_version,Np_version
ajayns/moodify,23.0,5.0,36.0,none,none,nnumpy==1.12.0
abhinavsagar/pedestrian-detection,23.0,10.0,12.0,none,none,none
santiment/sanpy,23.0,7.0,24.0,none,none,none
Site1997/LeNet-python,23.0,8.0,24.0,none,none,none
ahmedfgad/NumPyCNNAndroid,22.0,12.0,24.0,none,none,none
buomsoo-kim/Introduction-to-Python-Programming,22.0,7.0,36.0,none,none,none
Trinkle23897/Artificial-Neural-Network-THU-2018,22.0,8.0,24.0,none,none,none
Unidata/python-awips,22.0,14.0,60.0,none,none,   - numpy
VACUMM/sphinx-fortran,22.0,18.0,60.0,none,none,nnumpy >= 1.0
onurtemizkan/zhang,22.0,12.0,36.0,none,none,none
MGHComputationalPathology/highdicom,22.0,4.0,12.0,none,none,none
ertugruldeniz/plakatanimasistemi,21.0,7.0,24.0,none,none,none
abdullahselek/spampy,21.0,6.0,24.0,none,none,none
LaurentRDC/npstreams,21.0,1.0,36.0,none,none,numpy >= 1.14
Computational-Intelligence-Fall18/Computational-Intelligence-Tutorials,21.0,9.0,24.0,none,none,none
MRedies/NPY-for-Fortran,20.0,3.0,36.0,none,none,none
sileixinhua/Python_data_science_by_iris,20.0,28.0,36.0,none,none,none
plotlabs/SNNs-In-Tensorflow,20.0,6.0,24.0,b'tensorflow==1.3.0,none,nnumpy==1.13.3'
alexvlis/Shape-Recognition,20.0,4.0,48.0,none,none,none
CwbhX/Jamais-Vu,20.0,5.0,36.0,none,none,none
UiO-CS/tf-wavelets,20.0,4.0,24.0,none,none,none
jaisayush/Fatigue-Detection-System-Based-On-Behavioural-Characteristics-Of-Driver,20.0,12.0,12.0,none,none,none
scivision/f2py-examples,20.0,5.0,48.0,none,none,none
eddelbuettel/rcppcnpy,20.0,14.0,84.0,none,none,none
tirthajyoti/Covid-19-analysis,20.0,17.0,0.0,none,none,none
Belval/NaiveCNN,20.0,4.0,36.0,none,none,none
cnelson/skydetector,20.0,6.0,24.0,none,none,none
FilippoBovo/robustats,20.0,4.0,12.0,none,none,numpy==1.17.0
SkafteNicki/libcpab,20.0,3.0,24.0,none,none,none
ASPP/ASPP-2018-numpy,19.0,12.0,24.0,none,none,none
architsharma97/VideoSummarization,19.0,14.0,48.0,none,none,none
MichaelAquilina/hashedindex,19.0,8.0,60.0,none,none,none
sniklaus/teaching-vision,19.0,2.0,36.0,none,none,none
rougier/CNCC-2019,19.0,4.0,12.0,none,none,none
icmc-data/Turma-Introducao-2019.1,19.0,4.0,12.0,none,none,none
douglasdavis/pygram11,19.0,1.0,12.0,none,none,none
powellb/seapy,18.0,12.0,60.0,none,none,none
dbrrt/jp2-python,18.0,7.0,36.0,none,none,none
ellisdg/frangi3d,18.0,18.0,48.0,none,none,none
aestimosolver/aestimo,18.0,9.0,36.0,none,none,none
bshillingford/python-sharearray,18.0,1.0,36.0,none,none,none
stanfortonski/Perlin-Noise-3D-Voxel-Generator,18.0,0.0,0.0,none,none,none
SishaarRao/PageRank,18.0,2.0,36.0,none,none,numpy==1.12.1
rohintangirala/eulerian-remote-heartrate-detection,18.0,12.0,24.0,none,none,none
srp98/Movie-Recommender-using-RBM,18.0,18.0,24.0,none,none,none
slalit360/Data-Science-ML-Cheat-Sheet-Books-Oreilly-,18.0,17.0,24.0,none,none,none
scikit-hep/numpythia,18.0,4.0,36.0,none,none,none
shadaj/scalapy-numpy,17.0,12.0,36.0,none,none,none
ivanyu/idx2numpy,17.0,9.0,84.0,none,none,none
libmir/numir,17.0,3.0,36.0,none,none,none
pechersky/haskell-numpy-docs,17.0,2.0,36.0,none,none,none
JohnVinyard/zounds,17.0,4.0,48.0,none,ntorch>=0.4.0',nnumpy>=1.15.3
TrainingByPackt/Data-Wrangling-with-Python,18.0,53.0,24.0,none,none,none
jcmgray/autoray,17.0,1.0,12.0,none,none,none
david-hoffman/pyOTF,17.0,9.0,48.0,none,none,  - numpy
victor-iyiola/py-image-search-engine,17.0,12.0,36.0,none,none,none
pyxem/orix,17.0,6.0,24.0,none,none,none
kylebarron/pymartini,17.0,2.0,0.0,none,none,none
ntrang086/q_learning_trading,17.0,14.0,24.0,none,none,none
tribeofai/workshops,17.0,4.0,12.0,none,none,none
lucashn/peakutils,17.0,1.0,36.0,none,none,nnumpy>=1.8
xainag/numproto,17.0,1.0,12.0,none,none,none
Sammers21/math_stat_python,17.0,7.0,36.0,none,none,none
innat/Py4-DS,17.0,15.0,24.0,none,none,nnumpy==1.16.0
tirthajyoti/Scikit-image-processing,17.0,18.0,12.0,none,none,none
becxer/pytrain,16.0,3.0,60.0,none,none,none
primitiv/primitiv-python,16.0,2.0,36.0,none,none,numpy>=1.11.0
bfortuner/machine-learning,16.0,11.0,24.0,none,none,none
mherkazandjian/fastgrab,16.0,1.0,12.0,none,none,none
Daniel-Liu-c0deb0t/Adversarial-point-perturbations-on-3D-objects,15.0,5.0,12.0,b'tensorflow-gpu==1.4.1,none,nnumpy==1.16.6
agyorev/DocuScan,16.0,4.0,60.0,none,none,none
LukaszMalucha/Cat-vs.-Dog-Classifier,16.0,8.0,24.0,ntensorflow-estimator==1.13.0,none,nnumpy==1.16.4
rougier/Scipy-Bordeaux-2017,15.0,6.0,36.0,none,none,none
philippbauch/simple-linear-regression-notebook,15.0,21.0,36.0,none,none,nnumpy==1.12.1
potocpav/npy-rs,15.0,5.0,36.0,none,none,none
treehouse-projects/python-intro-to-numpy,15.0,16.0,24.0,none,none,none
bat67/numpy-user-guide-zh,15.0,3.0,36.0,none,none,none
zgbjgg/jun,15.0,2.0,36.0,none,none,none
kobykotiv/DeepBird,15.0,2.0,36.0,none,none,none
williamjameshandley/anesthetic,15.0,5.0,12.0,none,none,  - numpy
Imperial-College-Data-Science-Society/Neural-Networks,15.0,8.0,36.0,none,none,none
hkedia321/rice-quality-analysis,15.0,4.0,36.0,none,none,none
ianburkeixiv/Python-TensorFlow-WebApp,15.0,5.0,36.0,none,none,none
KimJeongSun/SpecAugment_numpy_scipy,15.0,6.0,12.0,none,none,none
dataworkshop/webinar-jupyter,14.0,8.0,36.0,none,none,none
Proxem/NumNet,14.0,2.0,24.0,none,none,none
neerajdixit/object-detection-with-deep-learning,14.0,9.0,36.0,none,none,none
DevelopedByAnurag/Datscan,14.0,2.0,12.0,none,none,none
prabhuomkar/CMATERdb,14.0,1.0,12.0,none,none,none
alessandrocucci/ml-book,14.0,6.0,36.0,none,none,none
Toemazz/VehicleDetectionAndTracking,14.0,10.0,24.0,none,none,none
ashishpatel26/Andrew-NG-Notes,14.0,11.0,12.0,none,none,none
mtrazzi/gym-alttp-gridworld,14.0,0.0,24.0,none,none,none
jacobdanovitch/Deep-Neural-Networks-for-Baseball,14.0,2.0,24.0,none,none,none
mrtpk/lidar-buster,14.0,7.0,24.0,none,none,none
rahup97/rect-maze,14.0,9.0,36.0,none,none,none
srinadhu/CS231n,14.0,11.0,24.0,none,none,none
RainingComputers/pykitml,14.0,0.0,12.0,none,none,none
benjaminirving/array-python-cpp,13.0,7.0,60.0,none,none,none
nudomarinero/wquantiles,14.0,7.0,72.0,none,none,numpy>=1.8.0
cxylpy/self_tutorial,13.0,3.0,24.0,none,none,none
buomsoo-kim/Python-for-data-analysis,13.0,9.0,36.0,none,none,none
waynemystir/lstm-numpy,13.0,7.0,36.0,none,none,none
gersongams/CursoPython,13.0,12.0,48.0,none,none,none
ericspod/DicomBrowser,13.0,2.0,48.0,none,none,none
LinShanify/HeatMap,13.0,4.0,24.0,none,none,none
conor10/examples,13.0,4.0,72.0,none,none,none
iamjagdeesh/Fake-News-Detection,13.0,8.0,12.0,none,none,none
zhengze/sklearn-predict,13.0,9.0,48.0,none,none,none
akwasigroch/coattention_object_segmentation,13.0,3.0,12.0,none,none,none
danielorf/pyMovieFingerprint,13.0,3.0,36.0,none,none,none
bksahu/100DaysOfMLCode,13.0,0.0,24.0,none,none,nnumpy=1.14.3 
resotto/python3-docker-devenv,13.0,2.0,12.0,none,none,none
dgasmith/gau2grid,12.0,7.0,36.0,none,none,none
gertingold/euroscipy-numpy-tutorial,12.0,12.0,48.0,none,none,none
Sagn1k/introToDataScience,12.0,3.0,24.0,none,none,none
engineersCode/EngComp1_offtheground,12.0,15.0,24.0,none,none,nnumpy==1.15.1
DipakMajhi/Machine-Learning-CheatSheets,12.0,4.0,36.0,none,none,none
Chinmayrane16/Diamonds-In-Depth-Analysis,12.0,5.0,24.0,none,none,none
xinjli/pytensor,12.0,3.0,48.0,none,none,none
DirkToewe/nd4js,12.0,0.0,36.0,none,none,none
otenim/Numpy-ELM,12.0,6.0,24.0,none,none,none
otenim/Numpy-ELM,12.0,6.0,24.0,none,none,none
sdpython/pandas_streaming,12.0,4.0,36.0,none,none,none
spacetelescope/jwql,12.0,25.0,36.0,none,none,nnumpydoc==1.0.0
Kamik423/xkcd-2048,12.0,1.0,24.0,none,none,none
Daniel-Liu-c0deb0t/3D-Neural-Network-Adversarial-Attacks,12.0,2.0,24.0,none,none,none
Chinmayrane16/Titanic-Survival-In-Depth-Analysis,12.0,2.0,24.0,none,none,none
code-monk08/connect4,12.0,23.0,12.0,none,none,none
Virtual-Machines/Anaconda-VirtualBox,12.0,3.0,24.0,none,none,none
sanithps98/Automobile-Dataset-Analysis,12.0,4.0,12.0,none,none,none
szmania/MEGA_Manager,12.0,1.0,36.0,none,none,none
bshankar/audiophile,12.0,3.0,36.0,none,none,none
amitkumarj441/Bitcoin-Price-Prediction,12.0,4.0,36.0,none,none,none
neerajdixit/object-detection-with-svm-and-opencv,12.0,9.0,36.0,none,none,none
tdh8316/triangler,12.0,2.0,0.0,none,none,nnumpy==1.17.2
mez/extended_kalman_filter_python,12.0,4.0,36.0,none,none,none
nirdizati-research/predict-python,12.0,6.0,36.0,ntensorflow==1.5.0,none,nnumpy==1.18.1
zmzhouXJTU/Python-Data-Analysis,12.0,7.0,24.0,none,none,none
deparkes/OOMMFTools,12.0,8.0,96.0,none,none,- numpy
accraze/python-twelve-tone,12.0,3.0,48.0,none,none,none
stephantul/reach,12.0,3.0,48.0,none,none,numpy==1.12.1
RyanDsilva/nn-from-scratch,13.0,1.0,0.0,none,none,none
michellebonat/tf_text_classify,11.0,7.0,24.0,none,none,none
anujdutt9/RecurrentNeuralNetwork,12.0,6.0,36.0,none,none,none
upul/logistic_regression,11.0,5.0,48.0,none,none,none
monoelh/deep-reinforcement-learning_DDQN_PPO_HER,11.0,1.0,24.0,none,none,none
pradeepsinngh/Data-Science-Tutorials,11.0,2.0,24.0,none,none,none
Vaidic/Udacity-Machine-Learning-Engineer-Nanodegree,11.0,10.0,24.0,none,none,none
inmcm/kravatte,11.0,1.0,24.0,none,none,none
ankitaggarwal011/MNIST-Sequence,11.0,4.0,36.0,none,none,nnumpy==1.13.3
ajhynes7/scikit-spatial,11.0,0.0,12.0,none,none,numpy==1.17.4
jorge-ramirez-upm/RepTate,11.0,5.0,48.0,none,none,none
mounirlt/LearningSentiment-SpecificWordEmbeddingForTwitterSentimentClassification,11.0,3.0,36.0,none,none,none
resotto/laplace,11.0,5.0,12.0,none,none,none
tribeofai/toai,11.0,5.0,12.0,none,none,none
consbio/trefoil,10.0,2.0,60.0,none,none,none
vaibhavnaagar/cnn,10.0,7.0,36.0,none,none,none
JuzerShakir/Investigate_TMDb_Movies,10.0,8.0,24.0,none,none,none
AchintyaX/NumpyStack,10.0,2.0,24.0,none,none,none
kmario23/Introduction-to-NumPy-Matplotlib-TensorFlow,10.0,14.0,24.0,none,none,none
Nir-J/ML-Projects,10.0,10.0,36.0,none,none,none
AdnanZahid/SnakeGame,10.0,7.0,24.0,none,none,none
radujica/baloo,10.0,6.0,24.0,none,none,none
BADMG/SignatureVerification,10.0,3.0,24.0,ntensorflow==1.15.0,none,nnumpy==1.14.3
aplbrain/npyjs,10.0,8.0,48.0,none,none,none
BryceQing/MicroScope,10.0,5.0,12.0,none,none,numpy==1.16.5
TrainingByPackt/Data-Science-with-Python,10.0,25.0,24.0,  - tensorflow-estimator=1.13.0=py_0,none,  - numpy-base=1.16.4=py36hc3f5095_0
fruzsinaagocs/oscode,10.0,5.0,12.0,none,none,none
duaraghav8/Corque,10.0,3.0,36.0,none,none,none
PhantomInsights/covid-19,10.0,2.0,0.0,none,none,none
AnonGuy/tapmap,10.0,2.0,24.0,none,none,none
nishusharma1608/India-Census-2011-Analysis,10.0,14.0,36.0,none,none,none
AlexIoannides/lime-interpretable-ml,10.0,5.0,24.0,none,none,none
Jake-Young/AI-NI-Academy,10.0,8.0,24.0,none,none,none
yoavram/DataSciPy,10.0,8.0,24.0,none,none,- numpy=1.14.2
int-brain-lab/mtscomp,10.0,0.0,12.0,none,none,none
meownoid/quantum-python,10.0,5.0,36.0,none,none,none
Computational-Intelligence-Fall18/Python-and-Numpy-Tutorials,10.0,2.0,24.0,none,none,none
dsc-iiitdmk/Pick-Parser,10.0,1.0,12.0,none,none,none
mwyau/PyStormTracker,10.0,2.0,60.0,none,none,none
tahaHichri/ML-fomo,10.0,0.0,12.0,none,none,none
DiamondLightSource/diffcalc,10.0,8.0,96.0,none,none,none
PoLun-Wang/Learn_NumPy,10.0,5.0,24.0,none,none,none
ahmedfgad/KivyAndroidClassification,10.0,3.0,12.0,none,none,none
underworldcode/quagmire,10.0,1.0,36.0,none,none,none
talhasaruhan/spatial-pyramid-pooling,9.0,2.0,24.0,none,none,none
shubham16394/Text-Similarity,9.0,7.0,36.0,none,none,none
erikvdplas/gru-rnn,9.0,6.0,36.0,none,none,none
nvictus/pybbi,9.0,2.0,48.0,none,none,none
yokaze/pyscience11,9.0,2.0,24.0,none,none,none
Dan-Patterson/Tools_for_ArcGIS_Pro,9.0,4.0,84.0,none,none,none
lbgists/audio-spectrum-matplotlib,9.0,4.0,24.0,none,none,none
harunshimanto/Gender-Detection,9.0,10.0,24.0,none,none,none
ntrang086/ml_trading_assess_learners,9.0,19.0,24.0,none,none,none
PacktPublishing/MasteringPython,9.0,2.0,12.0,none,none,none
ShigekiKarita/mir-pybuffer,9.0,0.0,24.0,none,none,none
dali-ml/dali-cython,9.0,2.0,60.0,none,none,nnumpy>=1.9.2
Sverchok/Sverchok,9.0,2.0,36.0,none,none,none
trsvchn/interactive-perceptrons,9.0,4.0,24.0,none,none,none
AnilKumarTeegala/APSSDC_Multi-Skill-Training-Program_VIEW,9.0,1.0,0.0,none,none,none
jtcho/FairMachineLearning,9.0,3.0,36.0,none,none,nnumpy==1.12.1
jeanggi90/sensorCar,9.0,1.0,24.0,none,none,nnumpy==1.16.2
dkaushik94/MLAlgos,9.0,0.0,36.0,none,none,none
tlatkowski/deep-learning-gene-expression,9.0,6.0,36.0,none,none,numpy==1.14.2
GeorgeSeif/Data-Science-Python,9.0,12.0,36.0,none,none,none
DataLind/Udacity-Data-Analyst-Nanodegree,10.0,9.0,12.0,none,none,none
akshay1997feb/Object-sorting-using-Robotic-arm-and-Image-processing,9.0,6.0,36.0,none,none,none
leouieda/python-hawaii-2017,9.0,7.0,36.0,none,none,none
evcu/numpy_autograd,9.0,1.0,24.0,none,none,none
RohitMidha23/Image-Directory-to-CSV,9.0,14.0,24.0,none,none,none
launchcode01dl/deeplearning.ai-coursera,10.0,8.0,24.0,none,none,none
ITE-5th/fuzzy-clustering,9.0,7.0,24.0,none,none,none
gmelodie/silentMoire,9.0,3.0,12.0,none,none,none
crowsonkb/shared_ndarray,9.0,5.0,36.0,none,none,numpy >= 1.11.3
pdebuyl-lab/tidynamics,9.0,3.0,36.0,none,none,none
marcogdepinto/Python-for-Data-Analysis-and-Machine-Learning,9.0,7.0,24.0,none,none,none
heysachin/Deep-Learning-PyTorch-Course-Materials,9.0,5.0,12.0,none,none,none
rahulkrishnan98/Numpy-array-to-Images,8.0,4.0,24.0,none,none,none
cainmagi/FFmpeg-Encoder-Decoder-for-Python,8.0,4.0,36.0,none,none,none
fqhuy/minimind,8.0,0.0,36.0,none,none,none
nschloe/fastfunc,8.0,0.0,24.0,none,none,none
isaksamsten/wildboar,8.0,3.0,24.0,none,none,nnumpy>=1.17.4
SanjinKurelic/CaseBasedReasoning,8.0,6.0,24.0,none,none,none
arunarn2/DeepPathwithTensorforce,8.0,1.0,24.0,none,none,none
christophercrouzet/hienoi,8.0,2.0,36.0,none,none,none
monycky/artificial-neural-networks,8.0,0.0,24.0,none,none,none
ShivamShrirao/dnn_from_scratch,8.0,0.0,12.0,none,none,none
ggeop/Realtime-Recommender,8.0,3.0,24.0,none,none,nnumpy==1.15.4
ToastyToast/slam-algorithms,8.0,3.0,36.0,none,none,none
eswar3/Zillow-prediction-models,8.0,2.0,24.0,none,none,none
sarthak0797/Digit-Recognition,8.0,6.0,24.0,none,none,none
jjrodcast/MaskDectector,8.0,7.0,0.0,none,none,none
gholomia/Hornburg,8.0,0.0,36.0,none,none,none
Liza-S/DAT208x-Introduction-to-Python-for-Data-Science-by-Edx,8.0,10.0,48.0,none,none,none
Jimut123/wisp,8.0,3.0,12.0,none,none,nnumpy==1.16.1
flatironinstitute/sparse_dot,8.0,1.0,12.0,none,none,none
brenns10/bart,8.0,0.0,48.0,none,none,none
adipandas/SmallWorldNetCA,8.0,2.0,24.0,none,none,none
abhishek305/PyBot-A-ChatBot-For-Answering-Python-Queries-Using-NLP,8.0,9.0,12.0,none,none,none
Toemazz/VideoStitcher,8.0,2.0,24.0,none,none,none
aysebilgegunduz/IntrotoScientificPython,8.0,5.0,36.0,none,none,none
anthonytec2/xrayscanner,8.0,4.0,24.0,none,none,nnumpy==1.14.2
sharmaroshan/MNIST-Dataset,8.0,2.0,12.0,none,none,none
zgbjgg/kaa,8.0,1.0,36.0,none,none,none
saranshbansal/Data-Science-with-Python,8.0,5.0,24.0,none,none,none
aysebilgegunduz/IntrotoScientificPython,8.0,5.0,36.0,none,none,none
heanuea/Mnist-Digit-Reader-,8.0,13.0,36.0,none,none,none
RohitMidha23/Neural-Network-Decision-Boundary,8.0,3.0,12.0,none,none,none
Vants/stampsreplacer,8.0,4.0,36.0,none,none,none
rvanmelle/pySPICE,8.0,3.0,108.0,none,none,none
garciparedes/python-examples,8.0,0.0,60.0,none,none,none
skyzh/fourier-transform-drawing,8.0,3.0,12.0,none,none,none
sourcecode369/ml-algorithms-on-scikit-and-keras,9.0,5.0,24.0,none,none,none
inejc/nnlib,8.0,1.0,36.0,none,none,numpy==1.12.0
singhrahuldps/OneHotEncode,8.0,1.0,24.0,none,none,none
scls19fr/pandas_degreedays,8.0,4.0,72.0,none,none,none
Technologicat/python-wlsqm,8.0,3.0,36.0,none,none,none
chimez/nimeigen,8.0,0.0,12.0,none,none,none
Niranjankumar-c/GradientDescent_Implementation,8.0,8.0,12.0,none,none,none
GunhoChoi/Kind_Tensorflow_Tutorial,7.0,5.0,36.0,none,none,none
janelia-flyem/diced,7.0,4.0,48.0,none,none,none
wshuail/Learn-Data-Science-the-Hard-Way,7.0,7.0,60.0,none,none,none
amsukdu/SimplePythonRNN,7.0,2.0,24.0,none,none,none
ntrang086/analyze_financial_data,7.0,6.0,36.0,none,none,none
vihar/torched,7.0,1.0,24.0,none,none,none
rvinas/nnn,7.0,1.0,36.0,none,none,none
naosk8/pil-numpy-homography-sample,7.0,0.0,36.0,none,none,none
guenchi/NumPy,7.0,1.0,24.0,none,none,none
ikizhvatov/efficient-columnwise-correlation,7.0,3.0,36.0,none,none,none
lasersonlab/zappy,7.0,1.0,24.0,none,none,none
nmerrill67/GPU_GSPCA,7.0,2.0,36.0,none,none,none
gsubramani/robust-nonlinear-regression,7.0,1.0,24.0,none,none,none
temp3rr0r/Longsword-Stance-RESTful-Service,7.0,3.0,36.0,none,none,none
mk43/python-practice,7.0,4.0,36.0,none,none,none
alessiovierti/youtube-clickbait-detector,7.0,3.0,24.0,none,none,none
alakise/Audio-Spectrogram,7.0,2.0,12.0,none,none,none
NiMlr/pyfunctionbases,7.0,0.0,12.0,none,none,none
nvladimus/npy2bdv,7.0,3.0,12.0,none,none,none
osanj/lava,7.0,2.0,12.0,none,none,nnumpy==1.16.3
qandeelabbassi/python-svm-sgd,7.0,5.0,0.0,none,none,none
max0ne/twinkeydow,7.0,0.0,24.0,none,none,none
ZainUlMustafa/Stock-Prediction-using-News-Info-Sentiment,7.0,4.0,24.0,none,none,none
cakmakaf/boston_housing,7.0,1.0,24.0,none,none,none
jbp261/Indoor-Navigation-and-Localization,7.0,3.0,24.0,none,none,none
MeowLucian/Multipath_Simulation,7.0,2.0,36.0,none,none,none
mzy2240/ESA,7.0,0.0,12.0,none,none,none
ZacharyWalsh57/PythonNoiseReduction,7.0,4.0,36.0,none,none,none
Tamoghna-Saha/python_tutorials_notebook,7.0,6.0,24.0,none,none,none
roshanlam/Audio-react,7.0,0.0,12.0,none,none,none
Technologicat/pydgq,7.0,2.0,36.0,none,none,none
Chinmayrane16/Pokemon-Visualization,7.0,0.0,24.0,none,none,none
HouariZegai/MachineLearningProjects,7.0,0.0,12.0,none,none,none
amirziai/menrva,7.0,2.0,48.0,none,none,none
bpkaur/Cheatsheets-for-data-science-and-machine-learning-beginners,7.0,6.0,24.0,none,none,none
LukaszMalucha/Pathfinder-AI,7.0,0.0,24.0,none,none,nnumpy==1.16.4
naiveHobo/JDL,7.0,0.0,36.0,none,none,none
SciTools/tephi,7.0,25.0,72.0,none,none,none
greenelab/hetmech,7.0,6.0,48.0,none,none,  - conda-forge::numpy=1.14.6
edorado93/Power-Of-A-Neuron,7.0,2.0,24.0,none,none,none
Kyziridis/BipedalWalker-v2,7.0,4.0,24.0,none,none,none
SimLeek/displayarray,7.0,3.0,36.0,none,none,none
SciTools/tephi,7.0,25.0,72.0,none,none,none
astro30/valinvest,7.0,2.0,0.0,none,none,none
HouariZegai/MachineLearningProjects,7.0,0.0,12.0,none,none,none
prakharchoudhary/MLworld,7.0,1.0,36.0,none,none,none
prashantlv/dataScience-cheatS,7.0,0.0,0.0,none,none,none
bpesquet/machine-learning-handbook,7.0,1.0,24.0,none,none,none
souravs17031999/NeuralNets-Pure-Python,7.0,0.0,12.0,none,none,nnumpy==1.16.4     
wladiarce/logistic_regression_numpy,6.0,5.0,24.0,none,none,none
avvineed/Convolutional-neural-network-Numpy,6.0,2.0,24.0,none,none,none
HDembinski/pyik,6.0,3.0,36.0,none,none,none
temp3rr0r/CellularAutomataEpidemicModels,6.0,3.0,36.0,none,none,none
dstein64/aghasher,6.0,4.0,60.0,none,none,none
greydanus/mr_london,6.0,1.0,48.0,none,none,nnumpy==1.10.1
Murillo/Data-Science-Udacity,6.0,4.0,48.0,none,none,none
pavitrakumar78/Machine-Learning-Python-Implementations,6.0,1.0,60.0,none,none,none
lamhoangtung/numpy-tutorial,6.0,3.0,24.0,none,none,none
vliu15/elmo-kmeans,6.0,1.0,24.0,none,none,none
mramshaw/Data-Cleaning,6.0,3.0,24.0,none,none,numpy>=1.14.0
kcg2015/lidar_ground_plane_and_obstacles_detections,7.0,5.0,12.0,none,none,none
zainsiddiqui/Predicting-Survival-on-Titanic-with-Machine-Learning-and-Graphical-User-Interface,6.0,2.0,12.0,none,none,numpy==1.16.3
abdel/imdb-sentiment-analysis,6.0,5.0,36.0,none,none,none
sid-ramakrishnan/SemiSupervisedVideoSemanticRecognition,6.0,2.0,48.0,none,none,none
mohnkhan/Deep-Learning-Cheat-Sheets,6.0,6.0,24.0,none,none,none
Siddhant-K-code/Coronavirus-Probability-Checker,6.0,1.0,0.0,none,none,none
niranjanshr13/notes,6.0,8.0,48.0,none,none,none
shaheerakr/roman-urdu-abusive-comment-detector,6.0,0.0,24.0,none,none,none
drewszurko/tensorflow-2-style-transfer,6.0,1.0,12.0,ntensorflow-gpu==2.0.0b1,none,none
ProsperousHeart/TrainingUsingJupyter,6.0,6.0,24.0,none,none,none
aromanro/PythonCompphys,6.0,0.0,0.0,none,none,    - numpy
nicolasfguillaume/Computational-Fluid-Dynamics-CFD-in-Python,6.0,4.0,48.0,none,none,none
paulfoley/Udacity_Nanodegree-Data_Analyst,6.0,12.0,36.0,none,none,none
M-Younus/stock-market-prediction-using-sentiment-analysis,6.0,13.0,24.0,none,none,none
bastanikola/Machine-Learning-Projects,6.0,14.0,12.0,none,none,none
bygregonline/dicom_django_viewer,6.0,4.0,24.0,none,none,none
bricewalker/NCAA-2018-Mens-March-Madness,6.0,1.0,24.0,none,none,none
ZainUlMustafa/Stock-Prediction-RNN-LSTM,6.0,4.0,24.0,none,none,none
kaustubh-sadekar/FunMirrors,6.0,2.0,0.0,none,none,none
sanjaysan/DataScience-Foodie,6.0,1.0,36.0,none,none,none
munnam77/Machine_Learning_CheatSheets,6.0,8.0,24.0,none,none,none
zxyle/make_training_set,6.0,1.0,24.0,none,none,numpy==1.16.4
matthieuheitz/npy_viewer,6.0,3.0,36.0,none,none,none
MagicTearsAsunder/YouTube_Analyzer,6.0,0.0,0.0,none,none,nnumpy==1.18.1
ubermag/discretisedfield,6.0,4.0,48.0,none,none,none
