Name,Stars,Forks,Months,TF_version,Torch_version,Np_version
tokuda109/tensorflow-docker-skeleton,6.0,0.0,36.0,none,none,none
PacktPublishing/Python-Data-Mining-Cookbook,6.0,11.0,36.0,none,none,none
TGDivy/MBTI-Personality-Classifier,7.0,5.0,24.0,none,none,none
atse0612/Machine-Learning-A-Z,6.0,30.0,36.0,none,none,none
pchandra90/advance_lane_lines,6.0,2.0,12.0,none,none,none
sar-gupta/rnn-from-scratch,6.0,4.0,24.0,none,none,none
allentv/DataScienceMachineLearning,6.0,7.0,60.0,none,none,none
kamadak/fiml-py,6.0,2.0,48.0,none,none,none
Spartee/LSTM-RNN,6.0,1.0,36.0,none,none,none
dataship/python-dataship,6.0,0.0,36.0,none,none,none
ahmedfgad/8QueensGenetic,6.0,3.0,12.0,none,none,none
valerierose/voronoi_district,6.0,1.0,36.0,none,none,none
bjpcjp/Numeric-Python,6.0,1.0,36.0,none,none,none
dahn-zk/pos,6.0,2.0,48.0,none,none,none
talha1503/word2vec,6.0,1.0,0.0,none,none,none
ramanshsharma2806/Digit-Recognizer,6.0,5.0,12.0,  - tensorflow-estimator=2.0.0=pyh2649769_0,none,numpy==1.17.2
sborquez/Python-LEC,6.0,6.0,12.0,none,none,none
SajadAzami/python-scientific-tools,5.0,2.0,48.0,none,none,none
Bhupesh-V/Learn-Python-Packages,5.0,5.0,24.0,none,none,none
popcornell/pyGF2,5.0,4.0,24.0,none,none,none
erikdelange/Neural-networks-in-numpy,5.0,4.0,24.0,none,none,none
milesgranger/lumber-jack,5.0,1.0,36.0,none,none,nnumpy==1.14.2
rmitsch/docker-alpine-python-nlp,5.0,5.0,36.0,none,none,none
AntixK/CPPN-in-Numpy,5.0,1.0,36.0,none,none,none
345ishaan/Digit-Classification-using-Numpy,6.0,0.0,24.0,none,none,numpy==1.13.3
DustinAlandzes/mnist-nn-numpy,5.0,3.0,36.0,none,none,numpy==1.11.3
ppknap/tensor,5.0,2.0,24.0,none,none,none
xanderchf/pyCapsNet,5.0,1.0,24.0,none,none,none
viyatgandhi/content-based-recommendation-system,5.0,4.0,48.0,none,none,none
IAmSuyogJadhav/Neural-Network-in-Python-using-Numpy,5.0,0.0,24.0,none,none,none
kaas3000/exercise-breast-cancer,5.0,0.0,36.0,none,none,nnumpy==1.12.1
ka10ryu1/jpegcomp,5.0,0.0,24.0,none,none,none
matthewghgriffiths/fastoverlap,5.0,1.0,36.0,none,none,none
seung-lab/fastremap,5.0,1.0,12.0,none,none,none
neerajdixit/Traffic-Sign-classifier-with-Deep-Learning,5.0,3.0,36.0,none,none,none
sharatsawhney/character_segmentation,5.0,2.0,24.0,none,none,none
Nsemble/nsvision,5.0,0.0,0.0,none,none,none
JJSrra/Research-SocioinspiredAlgorithms,5.0,1.0,36.0,none,none,none
Microno95/desolver,5.0,3.0,48.0,none,none,nnumpy>=1.17
leriomaggio/develer-data-science,5.0,1.0,24.0,ntensorflow>=1.10.0,none,nnumpy~=1.15.2
saran-shabd/UEFA-Champions-Leauge-Predictor,5.0,0.0,0.0,none,none,none
DavidRavnsborg/Predictive-Modeling-on-Gait-Data,5.0,1.0,36.0,none,none,none
mrsupiri/R2D2,5.0,7.0,36.0,none,none,none
unleashed-coding/plotter-bot,5.0,0.0,24.0,none,none,nnumpy>=1.14.2
abeermohamed1/Recommender-System,5.0,2.0,12.0,none,none,none
AravindVasudev/defect-predictor,5.0,4.0,36.0,none,none,none
piyushbaderia/Technical-Analysis-of-Markets,5.0,7.0,36.0,none,none,none
davidbrochart/bundle,5.0,0.0,36.0,none,none,none
nlpub/word2vec-pyro4,5.0,0.0,36.0,none,none,none
MaanavKhaitan/Evaluating-Investing-In-The-Stock-Market,5.0,3.0,36.0,none,none,none
sanjaykrishnagouda/Anomaly-Detection,5.0,0.0,36.0,none,none,none
MadhavJivrajani/LFSR-Encryption,5.0,0.0,0.0,none,none,none
10zinten/food-image-classifier,5.0,1.0,36.0,none,none,none
students-teach-students/python-tools-for-students,5.0,3.0,24.0,none,none,none
leriomaggio/develer-data-science,5.0,1.0,24.0,ntensorflow>=1.10.0,none,nnumpy~=1.15.2
saran-shabd/UEFA-Champions-Leauge-Predictor,5.0,0.0,0.0,none,none,none
DavidRavnsborg/Predictive-Modeling-on-Gait-Data,5.0,1.0,36.0,none,none,none
ruimashita/dnn,5.0,0.0,48.0,none,none,none
dshahid380/Non-linear-SVM,5.0,0.0,24.0,none,none,none
telamonian/numpy-protobuf,5.0,0.0,12.0,none,none,none
yang-zhang/code-data-science,5.0,0.0,36.0,none,none,none
XatMassacrE/compose_nba_trading_cards,5.0,1.0,36.0,none,none,none
bryant1410/handson-ml,5.0,3.0,36.0,none,none,none
FeezyHendrix/LinearRegressionfromscrath,5.0,8.0,24.0,none,none,none
nikhilkumarsingh/PythonForDataScience,6.0,29.0,24.0,none,none,none
Vaidic/Applied-Data-Science-with-Python-Specialization,5.0,18.0,24.0,none,none,none
matwilso/maml_numpy,5.0,1.0,24.0,none,none,none
abel-research/ampscan,5.0,3.0,12.0,none,none,numpy>=1.12
SamRagusa/NumbaFlow,5.0,0.0,24.0,none,none,none
nabinno/dojo,5.0,1.0,12.0,none,none,none
perimosocordiae/sparray,5.0,0.0,60.0,none,none,none
magicgoose/simple_dr_meter,5.0,0.0,36.0,none,none,numpy>=1.13.3
Developer404/Neural_Network,5.0,4.0,36.0,none,none,none
ganprad/rentorbuy,5.0,0.0,36.0,none,none,nnumpy==1.11.3
DEVELOPEROPTION123/Neural-Networks-Deep-Learning-,5.0,0.0,24.0,none,none,none
codePerfectPlus/DataAnalysisWithJupyter,5.0,1.0,0.0,none,none,none
nomissbowling/pyob,5.0,3.0,24.0,none,none,none
tingelst/pyversor,5.0,3.0,60.0,none,none,none
wolfg1969/Programming-Computer-Vision-with-Python-practice,5.0,0.0,36.0,none,none,nnumpy==1.14.0 --hash=sha256:428cd3c0b197cf857671353d8c85833193921af9fafcc169a1f29c7185833d50  --hash=sha256:a476e437d73e5754aa66e1e75840d0163119c3911b7361f4cd06985212a3c3fb  --hash=sha256:289ff717138cd9aa133adcbd3c3e284458b9c8230db4d42b39083a3407370317  --hash=sha256:c5eccb4bf96dbb2436c61bb3c2658139e779679b6ae0d04c5e268e6608b58053  --hash=sha256:75471acf298d455b035226cc609a92aee42c4bb6aa71def85f77fa2c2b646b61  --hash=sha256:5c54fb98ecf42da59ed93736d1c071842482b18657eb16ba6e466bd873e1b923  --hash=sha256:9ddf384ac3aacb72e122a8207775cc29727cbd9c531ee1a4b95754f24f42f7f3  --hash=sha256:781d3197da49c421a07f250750de70a52c42af08ca02a2f7bdb571c0625ae7eb  --hash=sha256:93b26d6c06a22e64d56aaca32aaaffd27a4143db0ac2f21a048f0b571f2bfc55  --hash=sha256:b2547f57d05ba59df4289493254f29f4c9082d255f1f97b7e286f40f453e33a1  --hash=sha256:eef6af1c752eef538a96018ef9bdf8e37bbf28aab50a1436501a4aa47a6467df  --hash=sha256:ff8a4b2c3ac831964f529a2da506c28d002562b230261ae5c16885f5f53d2e75  --hash=sha256:194074058c22a4066e1b6a4ea432486ee468d24ab16f13630c1030409e6b8666  --hash=sha256:4e13f1a848fde960dea33702770265837c72b796a6a3eaac7528cfe75ddefadd  --hash=sha256:91101216d72749df63968d86611b549438fb18af2c63849c01f9a897516133c7  --hash=sha256:97507349abb7d1f6b76b877258defe8720833881dc7e7fd052bac90c88587387  --hash=sha256:1479b46b6040b5c689831496354c8859c456b152d37315673a0c18720b41223b  --hash=sha256:98b1ac79c160e36093d7914244e40ee1e7164223e795aa2c71dcce367554e646  --hash=sha256:24bbec9a199f938eab75de8390f410969bc33c218e5430fa1ae9401b00865255  --hash=sha256:7880f412543e96548374a4bb1d75e4cdb8cad80f3a101ed0f8d0e0428f719c1c  --hash=sha256:6112f152b76a28c450bbf665da11757078a724a90330112f5b7ea2d6b6cefd67  --hash=sha256:7c5276763646480143d5f3a6c2acb2885460c765051a1baf4d5070f63d05010f  --hash=sha256:3de643935b212307b420248018323a44ec51987a336d1d747c1322afc3c099fb
dthung1602/NetworkVisualization,5.0,0.0,12.0,none,none,none
codeglitchz/attendance-system,5.0,3.0,12.0,none,none,nnumpy==1.17.0
praveentn/hgwxx7,5.0,1.0,24.0,none,none,none
roguephysicist/SHGYield,5.0,7.0,84.0,none,none,none
sky-flutter/Python-Tutorials,5.0,0.0,12.0,none,none,none
rsalmei/tsp-essay,5.0,1.0,24.0,none,none,none
adi2381/ai-chatbot,5.0,5.0,12.0,none,none,none
cosimoNigro/agnpy,5.0,5.0,12.0,none,none,none
scls19fr/numpy-buffer,5.0,2.0,60.0,none,none,none
KangKangLoveCat/py_cnn,5.0,3.0,24.0,none,none,none
benjamindkilleen/lsda,5.0,3.0,12.0,none,none,none
codingXiang/BPN,5.0,3.0,36.0,none,none,none
sebastian-schlecht/pygige,5.0,2.0,36.0,none,none,none
sayakpaul/Applied-Data-Science-w-Python-Specialization,5.0,0.0,12.0,none,none,none
Igor03/crescimento-regiao-pdi,5.0,1.0,24.0,none,none,none
tawabshakeel/DataCamp-Projects,5.0,5.0,12.0,none,none,none
syrte/handy,5.0,1.0,48.0,none,none,none
nsarrazin/AstroPynamics,5.0,1.0,36.0,none,none,none
ramanshsharma2806/Alternate-Reality,5.0,2.0,0.0,none,none,none
baldFemale/Machine-Learning-from-Numpy-Scratch,5.0,1.0,12.0,none,none,none
BaseMax/ImageRecognitionAI,5.0,2.0,12.0,none,none,nnumpy==1.16.4
DVirtualCosmos/Finger_Tracking,5.0,3.0,24.0,none,none,none
atrigo/PyTrigo,5.0,0.0,24.0,none,none,none
veb-101/Numpy-Pandas-Matplotlib-Tutorial,5.0,1.0,12.0,none,none,none
nikhilkumarsingh/IntroToNumpy,5.0,7.0,12.0,none,none,none
Sid11/XGBoost-Using-Numpy,5.0,2.0,12.0,none,none,none
hrishibawane/npjs-basic,5.0,1.0,0.0,none,none,none
cortex-lab/npytools,5.0,0.0,12.0,none,none,none
suneelpatel/Python-for-Data-Scientists,5.0,2.0,12.0,none,none,none
xxsacxx/alpine-python3-numpy-pandas-sparkContainer-spark-submit,5.0,0.0,12.0,none,none,nnumpy==1.15.0
ashirsch/spe2py,4.0,4.0,48.0,none,none,none
yang1young/PythonMLFramework,4.0,0.0,36.0,none,none,none
cjaques/pybind_examples,4.0,3.0,24.0,none,none,none
viyatgandhi/Online-Social-Networking,4.0,5.0,36.0,none,none,none
GeoscienceAustralia/BAL,4.0,1.0,48.0,none,none,none
sujithTSR/surface-curvature,4.0,1.0,60.0,none,none,none
themech/Machine-Learning-Coursera-Tensorflow,4.0,2.0,36.0,ntensorflow==1.5.0,none,nnumpy==1.14.1
MikeBild/introduction-python,4.0,0.0,36.0,none,none,none
papachristoumarios/triton-fpr,4.0,0.0,60.0,none,none,none
alipsgh/quick-tutorial-on-data-science,4.0,1.0,12.0,none,none,none
rashidch/Applied-Data-Science-in-Python-on-Coursera-1,4.0,0.0,36.0,none,none,none
AlphaDeeX/LSTM-Python,4.0,2.0,36.0,none,none,none
guanfuchen/PyMathModule,4.0,3.0,24.0,none,none,none
bsc-dd/hecuba,4.0,1.0,48.0,none,none,nnumpy >= 1.16
vitobellini/cppsim,4.0,0.0,24.0,none,none,none
rsnemmen/swig-numpy-2d,4.0,2.0,24.0,none,none,none
yaricom/english-article-correction,4.0,1.0,36.0,none,none,none
inishchith/SoundAnalysis,4.0,1.0,36.0,none,none,none
Lonch-Wong/python-requests_html-with-flightaware,4.0,1.0,24.0,none,none,none
Jezemy/VideoSubScanPlayer,4.0,0.0,0.0,none,none,none
tsaqib/ml-playground,4.0,1.0,36.0,none,none,none
DanialBeg/SunTracking,4.0,1.0,36.0,none,none,none
ianlini/pandas-pitfalls,4.0,0.0,24.0,none,none,none
ntrang086/ml_trading_defeat_learners,4.0,10.0,24.0,none,none,none
moadmmh/Virtual-Mouse-Using-Gesture-Recognition,4.0,9.0,24.0,none,none,none
ashutoshtiwari13/Simple-Random-Search,4.0,1.0,12.0,none,none,numpy==1.16.0
ravitejaCR7/Machine-Learning,4.0,3.0,24.0,none,none,none
raduenuca/dat64x-capstone-project,4.0,0.0,12.0,none,none,none
vincentbonnetcg/Numerical-Bric-a-Brac,4.0,0.0,24.0,none,none,none
alexeyev/HSE-SPb-BigData-Python-Fall2016,4.0,0.0,36.0,none,none,none
Site1997/RNN-implementation,4.0,0.0,0.0,none,none,none
kdeldycke/chessboard,4.0,3.0,60.0,none,none,none
fritzwill/decision-tree,4.0,5.0,12.0,none,none,none
naveenjoshii/ML-DL-Online,4.0,6.0,0.0,none,none,none
dimatura/pypcl,4.0,3.0,24.0,none,none,none
chakri1804/sumohana_AI_ML,4.0,1.0,24.0,none,none,none
timasjov/famous-algorithms,4.0,1.0,60.0,none,none,none
bjpcjp/python-data-science-handbook,4.0,4.0,24.0,none,none,none
PukkaPad/Recognizing-handwritten-digits-KNN,4.0,8.0,36.0,none,none,none
kmr0877/Realtime-Object-Tracking-using-Opencv,4.0,4.0,36.0,none,none,none
xamQrexii/cryptocurrency-arbitrage-opportunities,4.0,0.0,24.0,none,none,none
KeyWeeUsr/KrySA,4.0,9.0,48.0,none,none,none
afonsogloeden/face-spoofing-detection,4.0,0.0,12.0,none,none,none
Tejas07PSK/Melanoma-Detection,4.0,2.0,24.0,none,none,none
davidawad/Behavioral-Cloning,4.0,1.0,36.0,none,none,none
wnagesh/Datacamp-Intro-to-Python-For-Data-Science,4.0,10.0,36.0,none,none,none
akashdeepjassal/Iris-Classifier,4.0,0.0,36.0,none,none,none
Satyam-Bhalla/Cheatsheets,4.0,1.0,24.0,none,none,none
brunocampos01/analysis-flow-data-science,4.0,1.0,24.0,none,none,none
woojiahao/pds-analysis,4.0,0.0,24.0,none,none,none
brijshah27/House-Sales-Prediction,4.0,4.0,36.0,none,none,none
samueljamesbell/prettymatrix,4.0,0.0,24.0,none,none,none
codexponent/dota2-draft-analysis,4.0,2.0,24.0,none,none,none
atifkarim/Time-Series-Forecasting-Using-Machine-Learning-Algorithm,4.0,0.0,12.0,none,none,none
latifatcii/NBA-Match-Result-and-Score-Prediction,4.0,0.0,12.0,none,none,none
fanta-mnix/graph-ranking,4.0,0.0,36.0,none,none,none
78526Nasir/Top-5-Machine-Learning-Libraries-in-Python,4.0,6.0,24.0,none,none,none
Crowgers/Diamond_Square,4.0,0.0,36.0,none,none,none
naveenjoshii/ML-DL-Online,4.0,6.0,0.0,none,none,none
chakri1804/sumohana_AI_ML,4.0,1.0,24.0,none,none,none
ZainUlMustafa/K-Nearest-Neighbour-Algorithms,4.0,0.0,24.0,none,none,none
capitanov/hh_research,4.0,5.0,12.0,none,none,nnumpy==1.18.2
fanta-mnix/graph-ranking,4.0,0.0,36.0,none,none,none
78526Nasir/Top-5-Machine-Learning-Libraries-in-Python,4.0,6.0,24.0,none,none,none
Crowgers/Diamond_Square,4.0,0.0,36.0,none,none,none
daniel-shimon/deep-learning,4.0,0.0,36.0,none,none,none
luckylittle/most-frequently-used-keywords-in-devops-jobs-au,4.0,0.0,36.0,none,none,none
anujdutt9/Generative-Adversarial-Networks,4.0,6.0,36.0,none,none,none
KohakuBlueleaf/BlueNet,4.0,1.0,0.0,none,none,none
Kalhina/data-analysis-projects,4.0,2.0,36.0,none,none,none
Crowgers/Simple-Mandelbrot,4.0,1.0,48.0,none,none,none
sauloafoliveira/python-mlm,4.0,0.0,24.0,none,none,none
boosuro/diabetes_prediction_with_knn,4.0,8.0,24.0,none,none,none
michelemartone/pyrsb,4.0,1.0,36.0,none,none,numpy >= 1.8.0
shubham-gaur/Smart-Attendance-Management,4.0,3.0,24.0,none,none,none
syamkakarla98/Image-Kit,4.0,3.0,12.0,none,none,none
Arpith-kumar/EmotionRecognition,4.0,2.0,12.0,none,none,none
jeevanjyoti4/advmechsolids,4.0,0.0,0.0,none,none,  - numpy
rrwen/qgis-rasterarray,4.0,2.0,60.0,none,none,none
lmego/boston_housing,4.0,4.0,48.0,none,none,none
clamesc/Decentralized-Scheduling-Strategy-of-Heating-Systems,4.0,4.0,36.0,none,none,none
smilu97/py-miniflow,4.0,0.0,24.0,none,none,nnumpy==1.15.1
linanova/texture-fill,4.0,0.0,36.0,none,none,none
Seiji-Armstrong/seipy,4.0,0.0,36.0,none,none,none
sapanz/Digit-Recognition-using-Machine-Learning,4.0,1.0,24.0,none,none,none
PWhiddy/pybind11-cuda,4.0,2.0,24.0,none,none,none
prodo56/DeepLearning,4.0,7.0,36.0,none,none,none
abbas-ezoji/shift-scheduling,4.0,3.0,12.0,none,none,nnumpydoc==0.9.1
raghavnyati90/Yelp-Dataset-Classification-,4.0,7.0,36.0,none,none,none
petermchale/math9,4.0,11.0,36.0,none,none,none
xi/infinity-player,4.0,2.0,36.0,none,none,none
CSDUMMI/SpatialPooler,4.0,0.0,12.0,none,none,none
JackieJ/PyPandasWorkshop,4.0,1.0,36.0,none,none,none
iamnottheway/Image-Editor-Python-tkinter,4.0,0.0,36.0,none,none,none
SweetIceLolly/Sao_Title_Bot,4.0,0.0,0.0,none,none,none
UoAACG/WorkshopNotebooks,4.0,1.0,36.0,none,none,none
MichaelStott/PandasDataframeGUIKivy,4.0,3.0,36.0,none,none,none
shivansh/CRAM,4.0,3.0,48.0,none,none,none
Lazymindz/gradient_descent_numpy,4.0,1.0,24.0,none,none,none
kahnvex/slugnet,4.0,0.0,36.0,none,none,none
ivikash/Neural-Network-using-Numpy,4.0,1.0,36.0,none,none,none
MaverickTK/CheatSheets,4.0,2.0,12.0,none,none,none
1997alireza/RNN_Language_Model,4.0,0.0,24.0,none,none,none
daodavid/gravity-simulation,5.0,0.0,12.0,none,none,none
mattNest/CAPM-Python-Example,4.0,0.0,12.0,none,none,none
methylDragon/python-data-tools-reference,4.0,3.0,12.0,none,none,none
sadimanna/idx2numpy_array,4.0,4.0,36.0,none,none,none
nagnath006/Soccer-Analytics,4.0,3.0,36.0,none,none,none
chok68/video-scene-inventory,4.0,4.0,24.0,ntensorflow==1.3.0,none,numpy==1.12.1
mk43/machine-learning,4.0,2.0,24.0,none,none,none
anarayanan86/Harvardx-PH526x,4.0,20.0,48.0,none,none,none
jtcass01/SIMON,4.0,1.0,24.0,none,none,none
samuelterra22/Wireless-Access-Point-Optimization,4.0,1.0,36.0,none,none,nnumpy==1.18.5
YongWookHa/Multi-layer-Perceptron,4.0,0.0,12.0,none,none,none
free-to-learn/Numpy-Basic-with-Python,4.0,7.0,12.0,none,none,none
riccardomurri/python-for-science-intro,4.0,3.0,36.0,none,none,none
NoOneUST/BoatSimulation-PyTorch-Numpy,4.0,3.0,12.0,none,none,none
vadimkantorov/readaudio,4.0,0.0,0.0,none,none,none
sharmaroshan/Numpy-and-Pandas,4.0,2.0,0.0,none,none,none
www5226448/Master-Machine-Learning,4.0,0.0,12.0,none,none,none
edenau/ml-in-numpy,4.0,5.0,12.0,none,none,none
chandrikadeb7/Face-Recognition-in-Python,4.0,2.0,12.0,none,none,none
Imperial-College-Data-Science-Society/Scientific-Python,3.0,8.0,36.0,none,none,none
jimit105/Data-Science-in-Python-Pandas-Scikit-learn-Numpy-Matplotlib,3.0,10.0,36.0,none,none,none
fotisk07/NumPy-Pandas-MatPlotLib,3.0,4.0,24.0,none,none,none
DQ0408/NumPy-SRCNN,3.0,0.0,24.0,none,none,none
SaravananJaichandar/Python,3.0,0.0,24.0,none,none,none
zxcvb6958/data-processing-tools,3.0,0.0,24.0,none,none,none
mwil/collision,3.0,4.0,84.0,none,none,none
kosciak9/image_difference,3.0,0.0,36.0,none,none,none
Pk13055/bomberman,3.0,2.0,36.0,none,none,numpy==1.12.1
VenkataramanSubramanian/Carnd-Vehicle-Detection-YOLOv3-darknet-,3.0,3.0,24.0,none,none,none
Sarbjyotsingh/Gender-Classification-with-Python,3.0,3.0,36.0,none,none,none
davidbailey/py,3.0,3.0,60.0,none,none,none
yinfirefire/Machine-Learning-Specialization,3.0,6.0,24.0,none,none,none
abhijit-kar/pragmatic-machine-learning,3.0,0.0,36.0,none,none,none
dvoraka/pygl-prototype,3.0,0.0,72.0,none,none,nnumpy==1.8.1
nwoeanhinnogaehr/ScPy,3.0,1.0,48.0,none,none,none
gertingold/pythonnawi,3.0,1.0,48.0,none,none,none
kunmishra2599/NTUOSS-ScientificProgramming,3.0,0.0,24.0,none,none,none
TaavishThaman/Perceptron-using-numpy,3.0,0.0,24.0,none,none,none
dongdonghy/realtime_lane_detection,3.0,4.0,24.0,none,none,none
marsrobot/Tensor,3.0,1.0,24.0,none,none,none
tk3369/NPFinancial.jl,3.0,1.0,36.0,none,none,none
StevenMaude/python-data-science-handbook-notes,3.0,2.0,36.0,none,none,none
theghostofc/Exploratory-Data-Analytics,3.0,1.0,24.0,none,none,none
FookieMonster/numpy-unittest-100,3.0,3.0,24.0,none,none,numpy>=1.14.5
Ilya-Muromets/DuoDepth,3.0,0.0,24.0,none,none,none
Ilya-Muromets/DuoDepth,3.0,0.0,24.0,none,none,none
slothai/docker-numpy,3.0,2.0,24.0,none,none,none
KaleabTessera/NeuralNetwork_From_Scratch,3.0,0.0,12.0,none,none,none
shahen94/machine-learning-courses,3.0,0.0,36.0,none,none,none
Murphydbuffalo/smile-o-meter,3.0,0.0,36.0,none,none,none
Yatrie/PKDD-Taxi-Service-Trajectory-Prediction-Challenge,3.0,1.0,24.0,none,none,none
Technologicat/sudoku_lhs,3.0,1.0,36.0,none,none,none
JuzerShakir/Forest_Cover-Type,3.0,0.0,24.0,none,none,none
howardvickers/galvanize-capstone-asthma,3.0,0.0,24.0,none,none,none
sean-huni/deep-learning,3.0,0.0,24.0,none,none,none
yugrao/Spiro,3.0,0.0,24.0,none,none,none
adithya-b/ML,3.0,0.0,36.0,none,none,none
antra0497/Udacity-Predicting-Boston-Housing-Prices,3.0,4.0,24.0,none,none,none
kasramvd/Visualgit,3.0,0.0,48.0,none,none,none
andresberejnoi/NetBuilder,3.0,4.0,48.0,none,none,none
justachetan/scientific-computing,3.0,0.0,12.0,none,none,none
qucontrol/newtonprop,3.0,1.0,24.0,none,none,none
coxy1989/isl,3.0,0.0,12.0,none,none,        - numpy=1.15.4
fotisk07/SI-Project,3.0,1.0,12.0,none,none,none
delunapaolo/calipy,3.0,0.0,12.0,none,none,none
neerajkesav/ann-thyroid-classification,3.0,0.0,12.0,none,none,none
KevinCorcor/Numerical-Computation,3.0,1.0,24.0,none,none,none
bitan1998/ANN-TRAINING-USING-DIFERENTIAL-EVOLUTION,3.0,0.0,12.0,none,none,none
johnosullivan/ml-horse-prediction,3.0,4.0,36.0,none,none,none
TheAutumnOfRice/AutumnBridge,3.0,0.0,0.0,none,none,none
LizardLad/Spherical-Cow,3.0,1.0,36.0,none,none,none
rahup97/theta-maze,3.0,2.0,36.0,none,none,none
ys1998/nn-dl,3.0,1.0,36.0,none,none,none
ejimenezb/Intelligent-Traffic-Light-Control-System.,3.0,4.0,24.0,none,none,none
YaegerKnight/ML,3.0,3.0,24.0,none,none,none
abevieiramota/learning-calculus,3.0,0.0,48.0,none,none,none
johnosullivan/ml-horse-prediction,3.0,4.0,36.0,none,none,none
TheAutumnOfRice/AutumnBridge,3.0,0.0,0.0,none,none,none
LizardLad/Spherical-Cow,3.0,1.0,36.0,none,none,none
rahup97/theta-maze,3.0,2.0,36.0,none,none,none
ys1998/nn-dl,3.0,1.0,36.0,none,none,none
ejimenezb/Intelligent-Traffic-Light-Control-System.,3.0,4.0,24.0,none,none,none
YaegerKnight/ML,3.0,3.0,24.0,none,none,none
EeshaArif/iDOCtify,3.0,0.0,12.0,none,none,none
Karan-Malik/MovieHype,3.0,0.0,0.0,none,none,none
kaustubhdevkar/Handwritten-Digit-Recognition-Using-Deep-Learning,3.0,1.0,24.0,none,none,none
phreakyphoenix/Predicting-Bike-Sharing-Patterns,3.0,0.0,0.0,none,none,nnumpy==1.12.1
hameerabbasi/sparse-ndarray-protocols,3.0,0.0,24.0,none,none,none
jdbr99/computo-cientifico-python,3.0,1.0,12.0,none,none,none
essanhaji/linear_regression,3.0,0.0,0.0,none,none,none
omardelarosa/nes-ai,3.0,0.0,12.0,none,none,none
sparseinference/RDFT,3.0,0.0,24.0,none,none,none
DPotoyan/Chem563,3.0,3.0,24.0,none,none,  - numpy
Akramz/grokking-deep-learning-notebooks,3.0,5.0,12.0,none,none,none
prasants/pyds,3.0,10.0,36.0,none,none,none
uchidalab/font2img,3.0,6.0,36.0,none,none,none
mehul-m-prajapati/machine-learning-projects,3.0,1.0,36.0,none,none,none
Singhak/MLPortfolio,3.0,0.0,36.0,none,none,none
JanKrAppel/gadgetbridge_plotter,3.0,0.0,24.0,none,none,none
YohnWang/let-s-study,3.0,0.0,24.0,none,none,none
honestus/HCVRP,3.0,1.0,24.0,none,none,none
costrouc/pysrim,3.0,3.0,24.0,none,none,none
nishantkr18/Dynamic-Gesture-recognition-system,3.0,5.0,0.0,none,none,none
BigTony666/football-manager,3.0,2.0,12.0,none,none,none
cceh/ntg,3.0,0.0,48.0,none,none,none
